from_tower,to_tower,timestamp,distance_km,time_hours,speed_kmh
CELL-8443,CELL-0910,2025-02-21 01:03:35,1734.6566085918816,1.0013888888888889,1732.250704835166
CELL-0910,CELL-5703,2025-02-21 02:03:40,1919.6111917036199,0.085,22583.661078866113
CELL-5703,CELL-9505,2025-02-21 02:08:46,2096.3611952753035,6.601388888888889,317.56365676377413
CELL-9505,CELL-8473,2025-02-21 08:44:51,2751.4315056162236,17.433888888888887,157.82086963797212
CELL-8473,CELL-8476,2025-02-22 02:10:53,1140.3224117479715,4.3758333333333335,260.5954854499268
CELL-8476,CELL-7820,2025-02-22 06:33:26,2302.7710483612127,28.623055555555556,80.4516150937023
CELL-7820,CELL-2265,2025-02-23 11:10:49,2495.0035580939702,26.31361111111111,94.8179840295822
CELL-2265,CELL-9022,2025-02-24 13:29:38,2332.4525716047942,1.6683333333333332,1398.0734694933833
CELL-9022,CELL-9022,2025-02-24 15:09:44,0.0,20.62611111111111,0.0
CELL-9022,CELL-5400,2025-02-25 11:47:18,1231.3625081407677,2.8955555555555557,425.25950012536106
CELL-5400,CELL-1900,2025-02-25 14:41:02,961.7468861827476,3.098611111111111,310.37999016207004
CELL-1900,CELL-9022,2025-02-25 17:46:57,2191.9818643806393,3.894722222222222,562.8082670116469
CELL-9022,CELL-5703,2025-02-25 21:40:38,3445.234895146857,23.975555555555555,143.69781284790858
CELL-5703,CELL-6015,2025-02-26 21:39:10,2820.543498833564,8.479722222222222,332.62215729684647
